Nama Lengkap,ASAL SMA,PILIHAN 1,,PILIHAN 2,,PILIHAN 3,,NILAI UTBK 1,,NILAI UTBK 2,,
Syarli Febryanti,SMA Kristen Kalam Kudus Surabaya,UNIVERSITAS INDONESIA,GEOGRAFI,UNIVERSITAS INDONESIA,GEOGRAFI,UNIVERSITAS INDONESIA,GEOGRAFI,446.0,574.0,174.0,703.0,
Ardi Hosea,SMA Negeri 2 Rangkasbitung,UNIVERSITAS INDONESIA,TEKNIK SIPIL,UNIVERSITAS INDONESIA,TEKNIK SIPIL,UNIVERSITAS INDONESIA,TEKNIK SIPIL,857.0,527.0,608.0,145.0,
Riefky Ichsan Baihaqi,SMAN 1 Wirosari,UNIVERSITAS INDONESIA,TEKNIK MESIN,UNIVERSITAS INDONESIA,TEKNIK MESIN,UNIVERSITAS INDONESIA,TEKNIK MESIN,819.0,488.0,593.0,696.0,
Ahmad Syafrizal,SMAK IPEKA Puri Indah,UNIVERSITAS INDONESIA,TEKNIK ELEKTRO,UNIVERSITAS INDONESIA,TEKNIK ELEKTRO,UNIVERSITAS INDONESIA,TEKNIK ELEKTRO,194.0,600.0,610.0,299.0,
Mhey Chanthy Harlyana,SMA Saint John's School,UNIVERSITAS INDONESIA,TEKNIK METALURGI & MATERIAL,UNIVERSITAS INDONESIA,TEKNIK METALURGI & MATERIAL,UNIVERSITAS INDONESIA,TEKNIK METALURGI & MATERIAL,475.0,368.0,681.0,513.0,
Agnita Salshabilla,SMA Negeri 1 Bergas,UNIVERSITAS INDONESIA,ARSITEKTUR,UNIVERSITAS INDONESIA,ARSITEKTUR,UNIVERSITAS INDONESIA,ARSITEKTUR,697.0,774.0,421.0,737.0,
Jevon Jordan,SMA Kristen Immanuel,UNIVERSITAS INDONESIA,TEKNIK KIMIA,UNIVERSITAS INDONESIA,TEKNIK KIMIA,UNIVERSITAS INDONESIA,TEKNIK KIMIA,162.0,253.0,231.0,403.0,
Afna Saharani,SMA Hisada,UNIVERSITAS INDONESIA,ILMU KEPERAWATAN,UNIVERSITAS INDONESIA,ILMU KEPERAWATAN,UNIVERSITAS INDONESIA,ILMU KEPERAWATAN,202.0,309.0,606.0,647.0,
Marcellyn Patricia Korwa,SMA Negeri 21 Kabupaten Tangerang,UNIVERSITAS INDONESIA,ILMU KOMPUTER,UNIVERSITAS INDONESIA,ILMU KOMPUTER,UNIVERSITAS INDONESIA,ILMU KOMPUTER,601.0,103.0,678.0,539.0,
Rio Rivaldi Saputra,SMA Kemala Bhayangkari 1,UNIVERSITAS INDONESIA,ILMU KESEHATAN MASYARAKAT,UNIVERSITAS INDONESIA,ILMU KESEHATAN MASYARAKAT,UNIVERSITAS INDONESIA,ILMU KESEHATAN MASYARAKAT,450.0,658.0,518.0,431.0,
Ahmad Khoirul Huda,SMA Negeri 2 Magelang,UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,861.0,276.0,506.0,527.0,
Fadila Zikria,SMA Taman Madya 5,UNIVERSITAS INDONESIA,TEKNIK PERKAPALAN,UNIVERSITAS INDONESIA,TEKNIK PERKAPALAN,UNIVERSITAS INDONESIA,TEKNIK PERKAPALAN,362.0,303.0,323.0,610.0,
Martina Adventia Goran,SMA Negeri 6 Pandeglang,UNIVERSITAS INDONESIA,TEKNIK LINGKUNGAN,UNIVERSITAS INDONESIA,TEKNIK LINGKUNGAN,UNIVERSITAS INDONESIA,TEKNIK LINGKUNGAN,705.0,588.0,261.0,759.0,
Muhammad Marcel Ferdinoor,SMA Negeri 1 Bojong,UNIVERSITAS INDONESIA,TEKNIK KOMPUTER,UNIVERSITAS INDONESIA,TEKNIK KOMPUTER,UNIVERSITAS INDONESIA,TEKNIK KOMPUTER,566.0,698.0,134.0,122.0,
Zanuar Ahmad Hasani,"SMA Setia Bakti, Tangerang",UNIVERSITAS INDONESIA,SISTEM INFORMASI,UNIVERSITAS INDONESIA,SISTEM INFORMASI,UNIVERSITAS INDONESIA,SISTEM INFORMASI,395.0,518.0,226.0,338.0,
Dhea Artanti,SMA Negeri 1 Plupuh,UNIVERSITAS INDONESIA,ARSITEKTUR INTERIOR,UNIVERSITAS INDONESIA,ARSITEKTUR INTERIOR,UNIVERSITAS INDONESIA,ARSITEKTUR INTERIOR,523.0,642.0,179.0,467.0,
Adolfina Dewianti Bheri,SMA NEGERI 1 Srandakan,UNIVERSITAS INDONESIA,TEKNOLOGI BIOPROSES,UNIVERSITAS INDONESIA,TEKNOLOGI BIOPROSES,UNIVERSITAS INDONESIA,TEKNOLOGI BIOPROSES,147.0,482.0,393.0,711.0,
Noufal Nur Haikhal,SMA Negeri 1 Purwokerto,UNIVERSITAS INDONESIA,GIZI,UNIVERSITAS INDONESIA,GIZI,UNIVERSITAS INDONESIA,GIZI,581.0,409.0,717.0,496.0,
Juwita Nisa Anggraeni,SMA Negeri 1 Sewon,UNIVERSITAS INDONESIA,KESEHATAN LINGKUNGAN,UNIVERSITAS INDONESIA,KESEHATAN LINGKUNGAN,UNIVERSITAS INDONESIA,KESEHATAN LINGKUNGAN,302.0,204.0,138.0,331.0,
Hafiez Muzakky Laguni,SMA Santa Laurensia,UNIVERSITAS INDONESIA,KESELAMATAN DAN KESEHATAN KERJA,UNIVERSITAS INDONESIA,KESELAMATAN DAN KESEHATAN KERJA,UNIVERSITAS INDONESIA,KESELAMATAN DAN KESEHATAN KERJA,598.0,248.0,102.0,104.0,
Filmylita Solideo Lumowa,SMA Negeri 2 Wonogiri,UNIVERSITAS INDONESIA,GEOFISIKA,UNIVERSITAS INDONESIA,GEOFISIKA,UNIVERSITAS INDONESIA,GEOFISIKA,674.0,447.0,878.0,362.0,
Alya Nurdiyah Ismail,SMAK 4 PENABUR Surya Gardenia,UNIVERSITAS INDONESIA,GEOLOGI,UNIVERSITAS INDONESIA,GEOLOGI,UNIVERSITAS INDONESIA,GEOLOGI,107.0,314.0,194.0,806.0,
Sahanor,SMA NEGERI 1 Pajangan,UNIVERSITAS INDONESIA,STATISTIKA,UNIVERSITAS INDONESIA,STATISTIKA,UNIVERSITAS INDONESIA,STATISTIKA,386.0,556.0,435.0,629.0,
Patrecia Yosefani Brigita Sanches,SMA 28 Oktober 1928 (1),UNIVERSITAS INDONESIA,AKTUARIA,UNIVERSITAS INDONESIA,AKTUARIA,UNIVERSITAS INDONESIA,AKTUARIA,623.0,850.0,671.0,682.0,
Leonardy G.V. Waang,SMK Santa Theresia Menteng,UNIVERSITAS INDONESIA,TEKNIK BIOMEDIS,UNIVERSITAS INDONESIA,TEKNIK BIOMEDIS,UNIVERSITAS INDONESIA,TEKNIK BIOMEDIS,857.0,128.0,114.0,158.0,
Altianus Miti,SMK Muhammadiyah Kudus,UNIVERSITAS INDONESIA,ILMU HUKUM,UNIVERSITAS INDONESIA,ILMU HUKUM,UNIVERSITAS INDONESIA,ILMU HUKUM,149.0,669.0,618.0,347.0,
M. Naufal Hibbatullah,SMA Al Hikmah Surabaya,UNIVERSITAS INDONESIA,ARKEOLOGI INDONESIA,UNIVERSITAS INDONESIA,ARKEOLOGI INDONESIA,UNIVERSITAS INDONESIA,ARKEOLOGI INDONESIA,660.0,519.0,234.0,107.0,
Fitria,SMA Negeri 3,UNIVERSITAS INDONESIA,ILMU SEJARAH,UNIVERSITAS INDONESIA,ILMU SEJARAH,UNIVERSITAS INDONESIA,ILMU SEJARAH,543.0,703.0,299.0,153.0,
M. Farhan,SMA Negeri 7,UNIVERSITAS INDONESIA,ILMU PSIKOLOGI,UNIVERSITAS INDONESIA,ILMU PSIKOLOGI,UNIVERSITAS INDONESIA,ILMU PSIKOLOGI,538.0,171.0,468.0,148.0,
Nurlina,SMA Kristen Cilacap,UNIVERSITAS INDONESIA,ILMU KOMUNIKASI,UNIVERSITAS INDONESIA,ILMU KOMUNIKASI,UNIVERSITAS INDONESIA,ILMU KOMUNIKASI,868.0,699.0,714.0,150.0,
Mohamad Ilham Nurfaizi,SMA Negeri 4 Tangerang,UNIVERSITAS INDONESIA,ILMU POLITIK,UNIVERSITAS INDONESIA,ILMU POLITIK,UNIVERSITAS INDONESIA,ILMU POLITIK,733.0,425.0,882.0,538.0,
Laras Kinanti Mutiara Putri,SMA Labschool 1 Rawamangun,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NEGARA,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NEGARA,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NEGARA,197.0,290.0,592.0,600.0,
Lalu Hergi Rinaldi,SMA Negeri 89,UNIVERSITAS INDONESIA,KRIMINOLOGI,UNIVERSITAS INDONESIA,KRIMINOLOGI,UNIVERSITAS INDONESIA,KRIMINOLOGI,540.0,546.0,418.0,399.0,
Mohd. Fadli Ariansyah,SMA Mahatma Gandhi,UNIVERSITAS INDONESIA,SOSIOLOGI,UNIVERSITAS INDONESIA,SOSIOLOGI,UNIVERSITAS INDONESIA,SOSIOLOGI,412.0,394.0,515.0,290.0,
Galan Apriana Frediyanto,SMA Tunas Muda,UNIVERSITAS INDONESIA,ILMU KESEJAHTERAAN SOSIAL,UNIVERSITAS INDONESIA,ILMU KESEJAHTERAAN SOSIAL,UNIVERSITAS INDONESIA,ILMU KESEJAHTERAAN SOSIAL,408.0,438.0,779.0,465.0,
Khairul Rizal,SMA Negeri 1 Gemolong,UNIVERSITAS INDONESIA,ANTROPOLOGI SOSIAL,UNIVERSITAS INDONESIA,ANTROPOLOGI SOSIAL,UNIVERSITAS INDONESIA,ANTROPOLOGI SOSIAL,731.0,634.0,669.0,170.0,
Ayu Sari Sinurat,SMA Negeri 2 Sragen,UNIVERSITAS INDONESIA,ILMU EKONOMI,UNIVERSITAS INDONESIA,ILMU EKONOMI,UNIVERSITAS INDONESIA,ILMU EKONOMI,497.0,754.0,771.0,160.0,
Ardhi Wigi Saputra,SMA Negeri 1 Purwonegoro,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NIAGA,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NIAGA,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NIAGA,758.0,475.0,826.0,278.0,
Adi Sulistyo Nugroho,SMA Negeri 1 Jember,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI FISKAL,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI FISKAL,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI FISKAL,203.0,539.0,713.0,475.0,
Dona Brenda Margaretha,"SMA Setia Bakti, Tangerang",UNIVERSITAS INDONESIA,MANAJEMEN,UNIVERSITAS INDONESIA,MANAJEMEN,UNIVERSITAS INDONESIA,MANAJEMEN,720.0,520.0,253.0,180.0,
Rasti Hukama Istiadzah,SMA Negeri 1 Padalarang,UNIVERSITAS INDONESIA,AKUNTANSI,UNIVERSITAS INDONESIA,AKUNTANSI,UNIVERSITAS INDONESIA,AKUNTANSI,552.0,431.0,141.0,337.0,
Yudha Ardhana,SMA Negeri 11,UNIVERSITAS INDONESIA,ILMU HUBUNGAN INTERNASIONAL,UNIVERSITAS INDONESIA,ILMU HUBUNGAN INTERNASIONAL,UNIVERSITAS INDONESIA,ILMU HUBUNGAN INTERNASIONAL,561.0,415.0,207.0,618.0,
Rifani Indra Putra,SMA Pelita,UNIVERSITAS INDONESIA,ILMU PERPUSTAKAAN,UNIVERSITAS INDONESIA,ILMU PERPUSTAKAAN,UNIVERSITAS INDONESIA,ILMU PERPUSTAKAAN,147.0,338.0,552.0,390.0,
Martinus Felix Nathaniel,SMA Don Bosco,UNIVERSITAS INDONESIA,ILMU FILSAFAT,UNIVERSITAS INDONESIA,ILMU FILSAFAT,UNIVERSITAS INDONESIA,ILMU FILSAFAT,892.0,520.0,295.0,432.0,
Aldhi Raihan As. Siregar,SMA Negeri 1 Welahan,UNIVERSITAS INDONESIA,SASTRA INDONESIA,UNIVERSITAS INDONESIA,SASTRA INDONESIA,UNIVERSITAS INDONESIA,SASTRA INDONESIA,478.0,206.0,772.0,826.0,
Usran,SMA Negeri 28 Kabupaten Tangerang,UNIVERSITAS INDONESIA,SASTRA DAERAH UNTUK SASTRA JAWA,UNIVERSITAS INDONESIA,SASTRA DAERAH UNTUK SASTRA JAWA,UNIVERSITAS INDONESIA,SASTRA DAERAH UNTUK SASTRA JAWA,392.0,719.0,157.0,821.0,
Walhi S. Hodeng,SMA Diponegoro 1 Purwokerto,UNIVERSITAS INDONESIA,SASTRA JEPANG,UNIVERSITAS INDONESIA,SASTRA JEPANG,UNIVERSITAS INDONESIA,SASTRA JEPANG,738.0,557.0,679.0,681.0,
Sergius Melo,SMA Negeri 3 Tegal,UNIVERSITAS INDONESIA,SASTRA CINA,UNIVERSITAS INDONESIA,SASTRA CINA,UNIVERSITAS INDONESIA,SASTRA CINA,889.0,560.0,687.0,175.0,
Maria Selfiana Klaran,SMA PGRI 8,UNIVERSITAS INDONESIA,SASTRA ARAB,UNIVERSITAS INDONESIA,SASTRA ARAB,UNIVERSITAS INDONESIA,SASTRA ARAB,731.0,126.0,812.0,270.0,
Muhammad Farid,SMA Negeri 15 Kabupaten Tangerang,UNIVERSITAS INDONESIA,SASTRA PERANCIS,UNIVERSITAS INDONESIA,SASTRA PERANCIS,UNIVERSITAS INDONESIA,SASTRA PERANCIS,817.0,701.0,334.0,686.0,
Dewini Wahyuni Pratiwi Pangalila,SMA ITUS Jalaksana,UNIVERSITAS INDONESIA,SASTRA INGGRIS,UNIVERSITAS INDONESIA,SASTRA INGGRIS,UNIVERSITAS INDONESIA,SASTRA INGGRIS,225.0,182.0,502.0,122.0,
Alfonsa Apriani Gusmao,SMA Negeri 1 Wonogiri,UNIVERSITAS INDONESIA,SASTRA JERMAN,UNIVERSITAS INDONESIA,SASTRA JERMAN,UNIVERSITAS INDONESIA,SASTRA JERMAN,654.0,840.0,149.0,306.0,
Sherina Harti Shelvy Maulinda,SMA Hati Suci,UNIVERSITAS INDONESIA,SASTRA BELANDA,UNIVERSITAS INDONESIA,SASTRA BELANDA,UNIVERSITAS INDONESIA,SASTRA BELANDA,898.0,568.0,478.0,418.0,
Rahmadani D.W. Milo,SMA Kyai Ageng Pandanaran,UNIVERSITAS INDONESIA,SASTRA RUSIA,UNIVERSITAS INDONESIA,SASTRA RUSIA,UNIVERSITAS INDONESIA,SASTRA RUSIA,679.0,377.0,541.0,587.0,
Haniya Nora Fitriah Kamas,SMA Negeri 1 Sragi,UNIVERSITAS INDONESIA,BAHASA DAN KEBUDAYAAN KOREA,UNIVERSITAS INDONESIA,BAHASA DAN KEBUDAYAAN KOREA,UNIVERSITAS INDONESIA,BAHASA DAN KEBUDAYAAN KOREA,492.0,819.0,120.0,644.0,
Krisna Aldo Rosario Ambun,SMAN 6 Cirebon,UNIVERSITAS INDONESIA,ILMU EKONOMI ISLAM,UNIVERSITAS INDONESIA,ILMU EKONOMI ISLAM,UNIVERSITAS INDONESIA,ILMU EKONOMI ISLAM,792.0,644.0,663.0,353.0,
Feby Pebrianti Sanusi,SMA UNKLAB Airmadidi Manado,UNIVERSITAS INDONESIA,BISNIS ISLAM,UNIVERSITAS INDONESIA,BISNIS ISLAM,UNIVERSITAS INDONESIA,BISNIS ISLAM,568.0,332.0,494.0,462.0,
Elsinta Handayani Kusasi,SMA PGRI 4,UNIVERSITAS INDONESIA,PENDIDIKAN DOKTER,UNIVERSITAS INDONESIA,PENDIDIKAN DOKTER,UNIVERSITAS INDONESIA,PENDIDIKAN DOKTER,267.0,424.0,146.0,795.0,
Ananda Pratama Teguh Santoso,SMA Kartika siliwangi 1 Bandung,UNIVERSITAS INDONESIA,PENDIDIKAN DOKTER GIGI,UNIVERSITAS INDONESIA,PENDIDIKAN DOKTER GIGI,UNIVERSITAS INDONESIA,PENDIDIKAN DOKTER GIGI,832.0,741.0,331.0,371.0,
Sona Ermando,SMA Santo Paulus,UNIVERSITAS INDONESIA,MATEMATIKA,UNIVERSITAS INDONESIA,MATEMATIKA,UNIVERSITAS INDONESIA,MATEMATIKA,505.0,253.0,295.0,428.0,
Nur Puspita Sari,SMA Muhammadiyah Gubug,UNIVERSITAS INDONESIA,FISIKA,UNIVERSITAS INDONESIA,FISIKA,UNIVERSITAS INDONESIA,FISIKA,728.0,135.0,316.0,391.0,
Dilla Islami Salsabila,SMA PGRI Cipeundeuy,UNIVERSITAS INDONESIA,KIMIA,UNIVERSITAS INDONESIA,KIMIA,UNIVERSITAS INDONESIA,KIMIA,266.0,726.0,289.0,840.0,
Alman Rahadiansyah Willianto,SMA Budya Wacana,UNIVERSITAS INDONESIA,BIOLOGI,UNIVERSITAS INDONESIA,BIOLOGI,UNIVERSITAS INDONESIA,BIOLOGI,162.0,283.0,738.0,444.0,
Omega Meilani Dotulong,SMA Ksatria,UNIVERSITAS INDONESIA,FARMASI,UNIVERSITAS INDONESIA,FARMASI,UNIVERSITAS INDONESIA,FARMASI,592.0,235.0,340.0,661.0,
Redo,SMA Negeri 41,UNIVERSITAS INDONESIA,GEOGRAFI,UNIVERSITAS INDONESIA,GEOGRAFI,UNIVERSITAS INDONESIA,GEOGRAFI,237.0,654.0,189.0,416.0,
Damara Herlis Mailera,SMAK 6 PENABUR Muara Karang,UNIVERSITAS INDONESIA,TEKNIK SIPIL,UNIVERSITAS INDONESIA,TEKNIK SIPIL,UNIVERSITAS INDONESIA,TEKNIK SIPIL,307.0,127.0,468.0,492.0,
Muhammad Naufal Daffa Ulhaq . S,SMA PGRI 1,UNIVERSITAS INDONESIA,TEKNIK MESIN,UNIVERSITAS INDONESIA,TEKNIK MESIN,UNIVERSITAS INDONESIA,TEKNIK MESIN,742.0,340.0,646.0,281.0,
Yulfiar Ridhayani,SMA Sedes Sapientiae Bedono,UNIVERSITAS INDONESIA,TEKNIK ELEKTRO,UNIVERSITAS INDONESIA,TEKNIK ELEKTRO,UNIVERSITAS INDONESIA,TEKNIK ELEKTRO,839.0,780.0,390.0,747.0,
Dzikra Aulia Azzahra,SMA Ignatius Slamet Riyadi,UNIVERSITAS INDONESIA,TEKNIK METALURGI & MATERIAL,UNIVERSITAS INDONESIA,TEKNIK METALURGI & MATERIAL,UNIVERSITAS INDONESIA,TEKNIK METALURGI & MATERIAL,463.0,268.0,368.0,369.0,
Rahmawati Hasanah,SMA PSKD 3,UNIVERSITAS INDONESIA,ARSITEKTUR,UNIVERSITAS INDONESIA,ARSITEKTUR,UNIVERSITAS INDONESIA,ARSITEKTUR,545.0,493.0,795.0,382.0,
Fatahillah Aswam Qowa'id,SMA Tri Ratna,UNIVERSITAS INDONESIA,TEKNIK KIMIA,UNIVERSITAS INDONESIA,TEKNIK KIMIA,UNIVERSITAS INDONESIA,TEKNIK KIMIA,761.0,567.0,734.0,188.0,
Fitria Yudita,SMA PGRI Lembang,UNIVERSITAS INDONESIA,ILMU KEPERAWATAN,UNIVERSITAS INDONESIA,ILMU KEPERAWATAN,UNIVERSITAS INDONESIA,ILMU KEPERAWATAN,339.0,703.0,753.0,405.0,
Muhammad Yunus Nurfitra,SMAK Tirta Marta BPK Penabur,UNIVERSITAS INDONESIA,ILMU KOMPUTER,UNIVERSITAS INDONESIA,ILMU KOMPUTER,UNIVERSITAS INDONESIA,ILMU KOMPUTER,724.0,827.0,408.0,803.0,
As-Syifa Rahma Sugiwan,SMA Muhammadiyah 3 Masaran,UNIVERSITAS INDONESIA,ILMU KESEHATAN MASYARAKAT,UNIVERSITAS INDONESIA,ILMU KESEHATAN MASYARAKAT,UNIVERSITAS INDONESIA,ILMU KESEHATAN MASYARAKAT,602.0,555.0,370.0,505.0,
Zurriyati Nabila,SMA SMK Cinta Kasih Tzu Chi,UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,269.0,192.0,433.0,146.0,
Tirsa Anastasya Djogugu,SMA Al-Uswah,UNIVERSITAS INDONESIA,TEKNIK PERKAPALAN,UNIVERSITAS INDONESIA,TEKNIK PERKAPALAN,UNIVERSITAS INDONESIA,TEKNIK PERKAPALAN,466.0,217.0,512.0,122.0,
Shawn Hafizh Adefrid,SMA Negeri 4 Mataram,UNIVERSITAS INDONESIA,TEKNIK LINGKUNGAN,UNIVERSITAS INDONESIA,TEKNIK LINGKUNGAN,UNIVERSITAS INDONESIA,TEKNIK LINGKUNGAN,315.0,450.0,847.0,750.0,
Alia Fitriani Mauludy,SMA Santo Peter Kelapa Gading,UNIVERSITAS INDONESIA,TEKNIK KOMPUTER,UNIVERSITAS INDONESIA,TEKNIK KOMPUTER,UNIVERSITAS INDONESIA,TEKNIK KOMPUTER,165.0,289.0,610.0,357.0,
Fatur Rohim,SMA Sriguna Palembang,UNIVERSITAS INDONESIA,SISTEM INFORMASI,UNIVERSITAS INDONESIA,SISTEM INFORMASI,UNIVERSITAS INDONESIA,SISTEM INFORMASI,184.0,449.0,571.0,177.0,
Ajeng Devita,SMA Muhammadiyah 24,UNIVERSITAS INDONESIA,ARSITEKTUR INTERIOR,UNIVERSITAS INDONESIA,ARSITEKTUR INTERIOR,UNIVERSITAS INDONESIA,ARSITEKTUR INTERIOR,198.0,430.0,680.0,338.0,
Dina Fauziah Ramadani,SMA Muhammadiyah 1,UNIVERSITAS INDONESIA,TEKNOLOGI BIOPROSES,UNIVERSITAS INDONESIA,TEKNOLOGI BIOPROSES,UNIVERSITAS INDONESIA,TEKNOLOGI BIOPROSES,518.0,155.0,763.0,253.0,
Lestari Rahmah Dayanti,SMA Muh 1 Sleman,UNIVERSITAS INDONESIA,GIZI,UNIVERSITAS INDONESIA,GIZI,UNIVERSITAS INDONESIA,GIZI,265.0,226.0,644.0,204.0,
Heru Prasetiyo,SMA Negeri 1 sarkem,UNIVERSITAS INDONESIA,KESEHATAN LINGKUNGAN,UNIVERSITAS INDONESIA,KESEHATAN LINGKUNGAN,UNIVERSITAS INDONESIA,KESEHATAN LINGKUNGAN,887.0,157.0,769.0,233.0,
Steven Yohanes,SMA Negeri 62,UNIVERSITAS INDONESIA,KESELAMATAN DAN KESEHATAN KERJA,UNIVERSITAS INDONESIA,KESELAMATAN DAN KESEHATAN KERJA,UNIVERSITAS INDONESIA,KESELAMATAN DAN KESEHATAN KERJA,426.0,472.0,238.0,455.0,
Erik Sahalatua Butar-Butar,SMA Kesatuan,UNIVERSITAS INDONESIA,GEOFISIKA,UNIVERSITAS INDONESIA,GEOFISIKA,UNIVERSITAS INDONESIA,GEOFISIKA,509.0,585.0,332.0,785.0,
Taufik Rahmad,SMA Negeri 2 Kebumen,UNIVERSITAS INDONESIA,GEOLOGI,UNIVERSITAS INDONESIA,GEOLOGI,UNIVERSITAS INDONESIA,GEOLOGI,829.0,253.0,234.0,398.0,
R. Rayyana Muhammad,SMA Negeri 3 Demak,UNIVERSITAS INDONESIA,STATISTIKA,UNIVERSITAS INDONESIA,STATISTIKA,UNIVERSITAS INDONESIA,STATISTIKA,520.0,388.0,262.0,262.0,
Rismawati Alidasil,SMA Fatahillah,UNIVERSITAS INDONESIA,AKTUARIA,UNIVERSITAS INDONESIA,AKTUARIA,UNIVERSITAS INDONESIA,AKTUARIA,826.0,785.0,302.0,468.0,
Khusnul Azizah,SMA Advent Pioneer,UNIVERSITAS INDONESIA,TEKNIK BIOMEDIS,UNIVERSITAS INDONESIA,TEKNIK BIOMEDIS,UNIVERSITAS INDONESIA,TEKNIK BIOMEDIS,573.0,620.0,711.0,339.0,
Happy Limantara,SMA Negeri 7 Tangerang Selatan,UNIVERSITAS INDONESIA,ILMU HUKUM,UNIVERSITAS INDONESIA,ILMU HUKUM,UNIVERSITAS INDONESIA,ILMU HUKUM,801.0,427.0,123.0,276.0,
Melisa R Makmur,SMAK Bina Bakti,UNIVERSITAS INDONESIA,ARKEOLOGI INDONESIA,UNIVERSITAS INDONESIA,ARKEOLOGI INDONESIA,UNIVERSITAS INDONESIA,ARKEOLOGI INDONESIA,384.0,136.0,268.0,746.0,
Dwi Kumara Rai Akbar,SMA Kansisius,UNIVERSITAS INDONESIA,ILMU SEJARAH,UNIVERSITAS INDONESIA,ILMU SEJARAH,UNIVERSITAS INDONESIA,ILMU SEJARAH,778.0,755.0,781.0,124.0,
Putri Selticia Rahmaddani,SMA Negeri 3,UNIVERSITAS INDONESIA,ILMU PSIKOLOGI,UNIVERSITAS INDONESIA,ILMU PSIKOLOGI,UNIVERSITAS INDONESIA,ILMU PSIKOLOGI,209.0,363.0,447.0,172.0,
Sona Wanda Lilit,SMA Negeri 4 Tangerang Selatan,UNIVERSITAS INDONESIA,ILMU KOMUNIKASI,UNIVERSITAS INDONESIA,ILMU KOMUNIKASI,UNIVERSITAS INDONESIA,ILMU KOMUNIKASI,248.0,369.0,481.0,566.0,
Zest Lively Limbong,SMA Negeri 7 Mataram,UNIVERSITAS INDONESIA,ILMU POLITIK,UNIVERSITAS INDONESIA,ILMU POLITIK,UNIVERSITAS INDONESIA,ILMU POLITIK,424.0,199.0,504.0,381.0,
Irawati,SMA Tarsisius 1,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NEGARA,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NEGARA,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NEGARA,506.0,757.0,358.0,347.0,
Michael Alexander Boss Sitorus,SMA Paskalis,UNIVERSITAS INDONESIA,KRIMINOLOGI,UNIVERSITAS INDONESIA,KRIMINOLOGI,UNIVERSITAS INDONESIA,KRIMINOLOGI,194.0,490.0,503.0,620.0,
Jasmin Wulansari Hidayat,SMA N 1 Cangkringan,UNIVERSITAS INDONESIA,SOSIOLOGI,UNIVERSITAS INDONESIA,SOSIOLOGI,UNIVERSITAS INDONESIA,SOSIOLOGI,857.0,690.0,781.0,793.0,
Muhammad Yahya,MAS Al-Abidin,UNIVERSITAS INDONESIA,ILMU KESEJAHTERAAN SOSIAL,UNIVERSITAS INDONESIA,ILMU KESEJAHTERAAN SOSIAL,UNIVERSITAS INDONESIA,ILMU KESEJAHTERAAN SOSIAL,800.0,137.0,470.0,276.0,
Hizkia Alexander,SMA Negeri 1 Toroh,UNIVERSITAS INDONESIA,ANTROPOLOGI SOSIAL,UNIVERSITAS INDONESIA,ANTROPOLOGI SOSIAL,UNIVERSITAS INDONESIA,ANTROPOLOGI SOSIAL,268.0,184.0,502.0,347.0,
Rosita Andiani,MA Al Khairiyah,UNIVERSITAS INDONESIA,ILMU EKONOMI,UNIVERSITAS INDONESIA,ILMU EKONOMI,UNIVERSITAS INDONESIA,ILMU EKONOMI,579.0,361.0,775.0,116.0,
Hadid Syaifullah Albab,SMA Negeri 3 Temanggung,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NIAGA,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NIAGA,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI NIAGA,821.0,302.0,363.0,502.0,
Januarius Tubani Liu,MA Darussa'adah,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI FISKAL,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI FISKAL,UNIVERSITAS INDONESIA,ILMU ADMINISTRASI FISKAL,358.0,620.0,575.0,787.0,
Muh. Ismail Syam,SMA Ki Hajar Dewantara,UNIVERSITAS INDONESIA,MANAJEMEN,UNIVERSITAS INDONESIA,MANAJEMEN,UNIVERSITAS INDONESIA,MANAJEMEN,101.0,128.0,293.0,246.0,
Nurnisfullaely Alfaeni,SMA Negeri 14 Pandeglang,UNIVERSITAS INDONESIA,AKUNTANSI,UNIVERSITAS INDONESIA,AKUNTANSI,UNIVERSITAS INDONESIA,AKUNTANSI,735.0,476.0,812.0,151.0,
